region,subregion,country,civil_firearms,population,firearm_poss,reg_firearms,unreg_firearms
,,,,,,,
Americas,North America,United States,120.5,326474000.0,393347000,1073743.0,"392,273,257 Est."
Americas,South America,Falkland Islands,62.1,3000.0,2000,1705.0,295
Asia,Western Asia,Yemen,52.8,28120000.0,14859000,,
Oceania,Melanesia,New Caledonia,42.5,270000.0,115000,55000.0,60000
Europe,Southern Europe,Serbia,39.1,6946000.0,2719000,1186086.0,1532914
Europe,Southern Europe,Montenegro,39.1,626000.0,245000,103536.0,141464
Americas,North America,Canada,34.7,36626000.0,12708000,2081442.0,10626558
Americas,South America,Uruguay,34.7,3457000.0,1198000,605313.0,592687
Asia,Western Asia,Cyprus,34.0,839000.0,285000,154327.0,130673
Europe,Northern Europe,Finland,32.4,5541000.0,1793000,1542396.0,250604
Asia,Western Asia,Lebanon,31.9,6039000.0,1927000,,
Europe,Northern Europe,Iceland,31.7,334000.0,106000,73000.0,33000
Europe,Southern Europe,Bosnia and Herzegovina,31.2,3793000.0,1185000,353000.0,832000
Europe,Western Europe,Austria,30.0,8592000.0,2577000,837000.0,1740000
Europe,Southern Europe,North Macedonia,29.8,2083000.0,621000,169687.0,451313
Europe,Western Europe,Liechtenstein,28.8,38000.0,11000,,
Europe,Northern Europe,Norway,28.8,5331000.0,1537000,1254638.0,282362
Europe,Southern Europe,Malta,28.3,421000.0,119000,96425.0,22575
Europe,Western Europe,Switzerland,27.6,8454000.0,2332000,791719.0,1540281
Oceania,Australasia,New Zealand,26.3,4605000.0,1212000,1200000.0,12000
Europe,Southern Europe,Kosovo,23.8,1831000.0,436000,43206.0,392794
Europe,Northern Europe,Sweden,23.1,9921000.0,2296000,1955478.0,340522
Americas,North America,Greenland,22.3,56000.0,13000,,
Asia,South Asia,Pakistan,22.3,196744000.0,43917000,6000000.0,37917000
Europe,Southern Europe,Portugal,21.3,10265000.0,2186000,1400000.0,786000
Europe,Western Europe,France,19.6,64939000.0,12732000,4501235.0,8230765
Americas,South America,French Guiana,19.6,283000.0,55000,,
Europe,Western Europe,Germany,19.6,80636000.0,15822000,5830000.0,9992000
Asia,Western Asia,Iraq,19.6,38654000.0,7588000,,
Europe,Western Europe,Monaco,19.6,38000.0,7000,,
Africa,East Africa,Réunion,19.6,873000.0,171000,,
Europe,Western Europe,Luxembourg,18.9,584000.0,110000,86000.0,24000
Americas,Caribbean,Bahamas,18.8,397000.0,74000,17110.0,56890
Asia,Western Asia,Jordan,18.7,7877000.0,1473000,120000.0,1353000
Americas,South America,Venezuela,18.5,31926000.0,5895000,,
Europe,Southern Europe,Greece,17.6,10893000.0,1920000,1010000.0,910000
Asia,Western Asia,Northern Cyprus,17.4,349000.0,61000,49142.0,11858
Asia,Western Asia,Kuwait,16.7,4100000.0,685000,39000.0,646000
Asia,Western Asia,Oman,16.7,5312100.0,792000,,
Americas,South America,Paraguay,16.7,6812000.0,1140000,392000.0,748000
Asia,Western Asia,Qatar,16.7,2338000.0,390000,,
Asia,Western Asia,Saudi Arabia,16.7,32743000.0,5468000,,
Asia,Western Asia,United Arab Emirates,16.7,9398000.0,1569000,,
Americas,Caribbean,U.S. Virgin Islands,16.6,107000.0,18000,,
Asia,Western Asia,Turkey,16.5,80418000.0,13249000,2500000.0,10749000
Americas,South America,Suriname,15.9,552000.0,88000,30000.0,58000
Americas,South America,Guyana,15.8,774000.0,122000,4000.0,118000
Europe,Southern Europe,Slovenia,15.6,2071000.0,324000,127094.0,196906
Africa,Southern Africa,Namibia,15.4,2569000.0,396000,200010.0,195990
Asia,South-East Asia,Thailand,15.1,68298000.0,10342000,6221180.0,4120820
Oceania,Australasia,Australia,14.5,24642000.0,3573000,3158795.0,414205
Europe,Southern Europe,Italy,14.4,59798000.0,8609000,2000000.0,6609000
Europe,Southern Europe,San Marino,14.4,32000.0,5000,,
Europe,Southern Europe,Andorra,14.1,69000.0,10000,7599.0,2401
Americas,Central America,Honduras,14.1,8305000.0,1171000,475000.0,696000
Europe,Western Europe,Channel Islands,14.0,165000.0,23000,14550.0,8450
Europe,Southern Europe,Croatia,13.7,4210000.0,576000,390000.0,186000
Europe,Northern Europe,Lithuania,13.6,2831000.0,385000,127984.0,257016
Africa,North Africa,Libya,13.3,6409000.0,851000,,
Americas,Central America,Mexico,12.9,130223000.0,16809000,3118592.0,13690408
Asia,Western Asia,Bahrain,12.8,1419000.0,181000,,
Europe,Western Europe,Belgium,12.7,11444000.0,1451000,426939.0,1024061
Asia,South Asia,Afghanistan,12.5,34169000.0,4270000,,
Europe,Central Europe,Czech Republic,12.5,10555000.0,1323000,806895.0,516105
Africa,Central Africa,Equatorial Guinea,12.5,894000.0,112000,,
Africa,East Africa,Somalia (South Central),12.4,9225000.0,1145000,,
Africa,East Africa,Puntland,12.3,1995000.0,246000,,
Europe,Eastern Europe,Russia,12.3,143375000.0,17620000,6600000.0,11020000
Americas,South America,Chile,12.1,18313000.0,2220000,763182.0,1456818
Americas,Central America,Guatemala,12.1,17005000.0,2062000,520792.0,1541208
Europe,Southern Europe,Albania,12.0,2911000.0,350000,65747.0,284253
Americas,Central America,El Salvador,12.0,6167000.0,737000,344587.0,392413
Africa,East Africa,Somaliland,11.9,3823000.0,456000,,
Oceania,Melanesia,Guam,11.5,174000.0,20000,,
Americas,Caribbean,Puerto Rico,11.5,3679000.0,422000,,
Africa,Central Africa,Angola,11.2,26656000.0,2982000,,
Europe,Western Europe,Northern Ireland,11.0,1873000.0,206000,153000.0,53000
Americas,Central America,Panama,10.8,4051000.0,436000,180000.0,256000
Europe,Eastern Europe,Hungary,10.5,9788000.0,1023000,211300.0,811700
Europe,Northern Europe,Latvia,10.5,1945000.0,205000,70000.0,135000
Americas,South America,Colombia,10.1,49068000.0,4971000,706210.0,4264790
Asia,Western Asia,Georgia,10.1,3973000.0,402000,159000.0,243000
Oceania,Polynesia,Samoa,10.1,196000.0,20000,4000.0,16000
Americas,Central America,Belize,10.0,375000.0,37000,10755.0,26245
Americas,Central America,Costa Rica,10.0,4906000.0,493000,235631.0,257369
Europe,Northern Europe,Denmark,9.9,5712000.0,567000,340000.0,227000
Europe,Northern Europe,Faroe Islands,9.9,49000.0,5000,,
Europe,Eastern Europe,Ukraine,9.9,44405000.0,4396000,800000.0,3596000
Africa,Southern Africa,South Africa,9.7,55436000.0,5351000,3000000.0,2351000
Africa,East Africa,South Sudan,9.6,13096000.0,1255000,,
Americas,Caribbean,Cayman Islands,9.2,62000.0,6000,1556.0,4444
Americas,Caribbean,Jamaica,8.8,2813000.0,246000,45915.0,200085
Americas,Caribbean,Guadeloupe,8.5,472000.0,40000,5500.0,34500
Americas,Caribbean,Martinique,8.5,396000.0,34000,,
Americas,Caribbean,Saint Martin,8.5,32000.0,3000,,
Europe,Eastern Europe,Bulgaria,8.4,7045000.0,590000,345733.0,244267
Americas,South America,Brazil,8.3,211243000.0,17510000,8080295.0,9429705
Africa,East Africa,Mauritius,8.3,1281000.0,106000,,
Asia,Western Asia,Syria,8.2,18907000.0,1547000,,
Africa,West Africa,Ghana,8.0,28657000.0,2280000,1236128.0,1043872
Oceania,Polynesia,Tonga,8.0,108000.0,9000,,
Asia,East Asia,Mongolia,7.9,3052000.0,242000,46982.0,195018
Europe,Southern Europe,Spain,7.5,46070000.0,3464000,2683542.0,780458
Americas,South America,Argentina,7.4,44272000.0,3256000,1562332.0,1693668
Americas,Caribbean,Dominican Republic,7.4,10767000.0,795000,333426.0,461574
Asia,South Asia,Iran,7.3,80946000.0,5890000,,
Europe,Western Europe,Ireland,7.2,4749000.0,342000,200000.0,142000
Asia,Western Asia,Israel,6.7,8323000.0,557000,290000.0,267000
Africa,North Africa,Sudan,6.6,42166000.0,2768000,6724.0,2761276
Africa,West Africa,Gambia,6.5,2120000.0,137000,,
Europe,Central Europe,Slovakia,6.5,5432000.0,355000,280000.0,75000
Americas,Caribbean,Dominica,6.2,73000.0,5000,,
Asia,South Asia,Maldives,6.2,376000.0,23000,,
Asia,Western Asia,Armenia,6.1,3032000.0,186000,45822.0,140178
Europe,Eastern Europe,Belarus,6.1,9459000.0,581000,130000.0,451000
Africa,West Africa,Cape Verde,5.7,533000.0,31000,,
Europe,Western Europe,Scotland,5.6,5436000.0,305000,187000.0,118000
Americas,Caribbean,Antigua and Barbuda,5.4,94000.0,5000,1449.0,3551
Americas,Caribbean,Montserrat,5.4,5000.0,300,,
Asia,South Asia,India,5.3,1342513000.0,71101000,9700000.0,61401000
Americas,Central America,Nicaragua,5.2,6218000.0,323000,142260.0,180740
Europe,Northern Europe,Estonia,5.0,1306000.0,65000,47000.0,18000
Africa,Southern Africa,Lesotho,4.8,2185000.0,105000,,
Africa,North Africa,Morocco,4.8,35241000.0,1690000,,
Africa,Southern Africa,Eswatini,4.8,1320000.0,64000,10000.0,54000
Americas,North America,Bermuda,4.6,61000.0,3000,,
Europe,Western Europe,England & Wales,4.6,58877000.0,2731000,1870735.0,860265
Americas,Caribbean,Grenada,4.6,108000.0,5000,,
Asia,South-East Asia,Cambodia,4.5,16076000.0,717000,,
