SEI,Modalidade,Criação,ETP/TR,COMLIC,Situação,Objeto,Demandante,Conclusão
168427/2017-92,RDC,13/04/2017,19/10/2023,13/06/2023,Fracassado,Obra,SUINFRA,28/3/2024
210830/2017-21,RDC,26/10/2017,20/10/2020,20/10/2020,Homologado,Obra,SUINFRA,15/12/2020
211292/2017-92,RDC,30/10/2017,05/09/2019,05/05/2020,Homologado,Obra,SUINFRA,4/12/2020
218981/2017-28,RDC,08/12/2017,25/08/2020,17/07/2020,Homologado,Obra,SUINFRA,11/12/2020
018071/2018-28,Pregão,06/04/2018,06/12/2023,08/12/2023,Homologado,Obra,SUINFRA,8/4/2024
023068/2018-26,RDC,02/05/2018,27/08/2020,28/08/2020,Homologado,Obra,SUINFRA,10/12/2020
033214/2018-21,Pregão,13/06/2018,28/01/2020,05/02/2020,Homologado,Material,SUINFRA,10/6/2020
044949/2018-81,RDC,08/08/2018,14/09/2020,15/09/2020,Homologado,Obra,SUINFRA,28/12/2020
050052/2018-96,RDC,28/08/2018,07/11/2019,10/08/2022,Homologado,Obra,SUINFRA,21/12/2022
051008/2018-01,Pregão,31/08/2018,20/11/2019,26/11/2019,Deserto,Material,CENTRO DE ESTUDOS DO MAR,25/5/2020
059985/2018-49,RDC,05/10/2018,02/03/2023,06/03/2023,Homologado,Obra,SUINFRA,14/7/2023
063974/2018-63,Pregão,24/10/2018,30/07/2020,30/07/2020,Homologado,Serviço,AGTIC,25/9/2020
065100/2018-41,Pregão,29/10/2018,18/11/2020,27/11/2020,Homologado,Serviço,SA ,6/5/2021
066075/2018-12,RDC,01/11/2018,25/05/2020,28/02/2020,Homologado,Obra,SUINFRA,24/8/2020
066420/2018-18,Pregão,05/11/2018,23/12/2020,06/01/2020,Homologado,Serviço,SUINFRA,22/7/2021
067338/2018-19,RDC,08/11/2018,10/02/2026,09/09/2020,Fracassado,Obra,SUINFRA,7/12/2020
070029/2018-18,RDC,21/11/2018,23/12/2019,07/01/2020,Homologado,Obra,SUINFRA,12/5/2020
073727/2018-75,RDC,11/12/2018,25/09/2020,04/09/2020,Homologado,Obra,SUINFRA,30/11/2020
000697/2019-69,Pregão,08/01/2019,11/11/2019,29/11/2019,Homologado,Serviço,AGTIC,20/7/2020
006361/2019-18,RDC,09/02/2019,10/09/2020,11/09/2020,Homologado,Obra,SUINFRA,22/12/2020
009644/2019-11,Pregão,20/02/2019,24/06/2021,29/06/2021,Fracassado,Serviço,SUINFRA,23/9/2021
016183/2019-25,RDC,18/03/2019,02/09/2020,24/07/2020,Suspenso,Obra,SUINFRA,26/11/2020
022969/2019-81,RDC,05/04/2019,01/11/2019,01/11/2019,Homologado,Obra,SUINFRA,4/5/2020
023162/2019-66,Pregão,08/04/2019,29/11/2019,29/11/2019,Homologado,Material,GEPEC,13/3/2020
023153/2019-75,Pregão,08/04/2019,13/11/2019,04/10/2019,Homologado,Material,GEPEC,2/4/2020
023159/2019-42,Pregão,08/04/2019,24/01/2020,28/01/2020,Homologado,Material,GEPEC,1/4/2020
026688/2019-06,Pregão,23/04/2019,04/12/2019,09/12/2019,Homologado,Serviço,CENTRO DE ESTUDOS DO MAR,17/3/2020
029339/2019-38,Pregão,02/05/2019,06/02/2020,06/02/2020,Homologado,Serviço,DEPARTAMENTO DE LOGÍSTICA,30/9/2020
